Comment,Designator,Footprint,LCSC Part #
"proteus","BRD1","proteus",""
"5-146280-3","J1","5-146280-3",""
"5103308-3","J2","5103308-3",""
"Conn_01x06","J3","PinHeader_1x06_P2.54mm_Vertical",""
"5103308-3","J4","5103308-3",""
"XH-10AW","J7, J10","JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal","C14652"
"Conn_01x06","J13","PinHeader_1x06_P2.54mm_Vertical",""
"FORD60PIN","U1","FORD60PIN",""
"1u","C600, C607, C609, C610, C611, C600_2, C607_2, C609_2, C610_2, C611_2","C0402","C52923"
"100n","C601, C602, C605, C608, C612, C613, C614, C615, C601_2, C602_2, C605_2, C608_2, C612_2, C613_2, C614_2, C615_2","C0402","C1525"
"33n","C603, C603_2","C0402","C1585"
"DNP","C604","C0402",""
"DNP","C606","C0402",""
"4.7u","C616, C616_2","C0603","C19666"
"LED-RED-0603","D600, D603, D600_2, D603_2","LED-0603","C2286"
"LED-GREEN-0603","D601, D601_2","LED-0603","C72043"
"LED-BLUE-0603","D602, D602_2","LED-0603","C72041"
"BTS3028","Q600, Q600_2","DPAK","C112639"
"VNP28N04-E","Q601, Q601_2","TO-220-3_Vertical","C263002"
"1k","R600, R601, R616, R617, R622, R626, R627, R628, R600_2, R601_2, R616_2, R617_2, R622_2, R626_2, R627_2, R628_2","R0402","C11702"
"68k","R602, R603, R602_2, R603_2","R0402","C36871"
"10k","R604, R605, R613, R614, R618, R619, R625, R604_2, R605_2, R613_2, R614_2, R618_2, R619_2, R625_2","R0402","C25744"
"10","R606, R606_2","R0402","C25077"
"22k","R607, R607_2","R0402","C25768"
"47","R608, R608_2","R0402","C25118"
"61.9","R609, R609_2","R0603","C23092"
"20k","R610, R611, R612, R610_2, R611_2, R612_2","R0402","C25765"
"100k","R615, R621, R615_2, R621_2","R0402","C25741"
"27k","R620, R623, R620_2, R623_2","R0402","C25771"
"3.3k","R624, R624_2","R0402","C25890"
"MCP6004","U600, U600_2","TSSOP14","C50282"
"AD8628","U601, U601_2","TSOT23-5","C29309"
"STM32F042K6Tx","U602, U602_2","LQFP32","C69216"
"REF3033","U603, U603_2","SOT-23","C36658"
"XC6206P332MR","U604, U604_2","SOT-23","C5446"
"100n","C430, C431, C430_2, C431_2","C0603","C14663"
"PESD1CAN","D430, D430_2","SOT-23","C343993"
"120","R430, R430_2","R0603","C22787"
"TJA1051T/3/1J","U430, U430_2","SO8","C38695"
"DNP","C604_2","C0402",""
"DNP","C606_2","C0402",""
