Designator,Mid X,Mid Y,Layer,Rotation
BRD1,22.319mm,70.049mm,Top,0.0
J1,146.4412mm,154.90194mm,Top,180.0
J2,100.145mm,63.22064mm,Top,0.0
J3,115.504mm,31.684mm,Top,270.0
J4,61.93841mm,63.22064mm,Top,0.0
J7,31.557mm,53.864mm,Top,270.0
J10,148.143mm,31.364mm,Top,90.0
J13,65.593mm,53.147mm,Top,90.0
U1,41.2768mm,160.2588mm,Top,0.0
C600,51.824mm,41.755mm,Top,270.0
C601,51.697mm,43.66mm,Top,90.0
C602,60.942mm,38.233000000000004mm,Top,0.0
C603,61.349000000000004mm,39.215mm,Top,0.0
C604,60.942mm,37.233000000000004mm,Top,0.0
C605,54.554500000000004mm,46.8985mm,Top,0.0
C606,62.342mm,43.633mm,Top,0.0
C607,52.332mm,40.231mm,Top,180.0
C608,62.842mm,36.583mm,Top,180.0
C609,72.44200000000001mm,46.318mm,Top,90.0
C610,77.865mm,39.693mm,Top,180.0
C611,62.792mm,41.583mm,Top,90.0
C612,62.792mm,39.683mm,Top,270.0
C613,77.738mm,44.391999999999996mm,Top,180.0
C614,63.992000000000004mm,45.683mm,Top,90.0
C615,73.092mm,36.733000000000004mm,Top,270.0
C616,74.81700000000001mm,42.233mm,Top,90.0
D600,52.586mm,38.199mm,Top,270.0
D601,67.06400000000001mm,47.343mm,Top,0.0
D602,70.112mm,47.343mm,Top,180.0
D603,74.72445mm,37.11305mm,Top,90.0
Q600,47.342mm,43.483mm,Top,90.0
Q601,46.842mm,36.583mm,Top,0.0
R600,52.713mm,43.66mm,Top,270.0
R601,52.84mm,41.755mm,Top,270.0
R602,62.842mm,37.533mm,Top,180.0
R603,57.92mm,39.723mm,Top,90.0
R604,61.349000000000004mm,40.231mm,Top,0.0
R605,58.936mm,39.723mm,Top,90.0
R606,53.856mm,39.723mm,Top,270.0
R607,56.523mm,46.8985mm,Top,0.0
R608,59.892mm,39.723mm,Top,90.0
R609,55.888000000000005mm,39.977000000000004mm,Top,180.0
R610,52.207mm,45.633mm,Top,180.0
R611,52.207mm,46.683mm,Top,0.0
R612,52.207mm,47.733mm,Top,180.0
R613,55.092mm,37.933mm,Top,90.0
R614,54.092mm,37.733000000000004mm,Top,90.0
R615,54.642mm,35.933mm,Top,180.0
R616,52.657mm,35.983000000000004mm,Top,180.0
R617,69.327mm,35.632999999999996mm,Top,180.0
R618,62.842mm,45.683mm,Top,270.0
R619,58.4915mm,46.8985mm,Top,0.0
R620,60.46mm,46.8985mm,Top,0.0
R621,60.942mm,35.632999999999996mm,Top,180.0
R622,51.342mm,37.433mm,Top,270.0
R623,61.857mm,45.438mm,Top,90.0
R624,62.842mm,35.632999999999996mm,Top,0.0
R625,74.992mm,44.383mm,Top,180.0
R626,64.524mm,47.343mm,Top,0.0
R627,71.37700000000001mm,48.583mm,Top,180.0
R628,74.79945000000001mm,39.62305mm,Top,90.0
U600,57.412000000000006mm,43.533mm,Top,90.0
U601,57.792mm,36.933mm,Top,180.0
U602,68.492mm,41.382999999999996mm,Top,270.0
U603,77.357mm,37.407mm,Top,90.0
U604,77.48400000000001mm,42.0806mm,Top,180.0
R430,95.80766299999999mm,45.960497999999994mm,Top,90.0
C431,92.35766299999999mm,38.310497999999995mm,Top,270.0
C430,92.35766299999999mm,42.010498mm,Top,90.0
U430,95.60766299999999mm,40.690498mm,Top,0.0
D430,93.38766299999999mm,45.960497999999994mm,Top,0.0
C600_2,128.85mm,42.760999999999996mm,Top,90.0
C601_2,128.977mm,40.855999999999995mm,Top,270.0
C602_2,119.732mm,46.283mm,Top,180.0
C603_2,119.325mm,45.301mm,Top,180.0
C604_2,119.732mm,47.283mm,Top,180.0
C605_2,126.1195mm,37.6175mm,Top,180.0
C606_2,118.33200000000001mm,40.882999999999996mm,Top,180.0
C607_2,128.342mm,44.285mm,Top,0.0
C608_2,117.83200000000001mm,47.933mm,Top,0.0
C609_2,108.232mm,38.198mm,Top,270.0
C610_2,102.80900000000001mm,44.823mm,Top,0.0
C611_2,117.882mm,42.933mm,Top,270.0
C612_2,117.882mm,44.833mm,Top,90.0
C613_2,102.936mm,40.123999999999995mm,Top,0.0
C614_2,116.682mm,38.833mm,Top,270.0
C615_2,107.58200000000001mm,47.783mm,Top,90.0
C616_2,105.857mm,42.283mm,Top,270.0
D600_2,128.088mm,46.317mm,Top,90.0
D601_2,113.61mm,37.173mm,Top,180.0
D602_2,110.56200000000001mm,37.173mm,Top,0.0
D603_2,105.94955mm,47.40295mm,Top,270.0
Q600_2,133.332mm,41.033mm,Top,270.0
Q601_2,133.832mm,47.933mm,Top,180.0
R600_2,127.96100000000001mm,40.855999999999995mm,Top,90.0
R601_2,127.834mm,42.760999999999996mm,Top,90.0
R602_2,117.83200000000001mm,46.983mm,Top,0.0
R603_2,122.754mm,44.793mm,Top,270.0
R604_2,119.325mm,44.285mm,Top,180.0
R605_2,121.738mm,44.793mm,Top,270.0
R606_2,126.81800000000001mm,44.793mm,Top,90.0
R607_2,124.15100000000001mm,37.6175mm,Top,180.0
R608_2,120.78200000000001mm,44.793mm,Top,270.0
