Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BRD1,22.319000mm,70.049000mm,Top,0.0,22.319000mm,70.049000mm
J1,146.441200mm,154.901940mm,Top,180.0,146.441200mm,154.901940mm
J2,100.145000mm,63.220640mm,Top,0.0,100.145000mm,63.220640mm
J3,115.504000mm,31.684000mm,Top,-90.0,115.504000mm,31.684000mm
J4,61.938410mm,63.220640mm,Top,0.0,61.938410mm,63.220640mm
J7,31.557000mm,53.864000mm,Top,-90.0,31.557000mm,53.864000mm
J10,148.143000mm,31.364000mm,Top,90.0,148.143000mm,31.364000mm
J13,65.593000mm,53.147000mm,Top,90.0,65.593000mm,53.147000mm
M1,80.042000mm,49.683000mm,Top,180.0,80.042000mm,49.683000mm
M2,91.257663mm,47.910498mm,Top,-90.0,91.257663mm,47.910498mm
M3,100.632000mm,34.833000mm,Top,0.0,100.632000mm,34.833000mm
M4,88.950337mm,36.535501mm,Top,90.0,88.950337mm,36.535501mm
U1,41.276800mm,160.258800mm,Top,0.0,41.276800mm,160.258800mm
