Ref,Val,Package,PosX,PosY,Rot,Side
"BRD1","proteus","proteus",22.319000,70.049000,0.000000,top
"J1","5-146280-3","5-146280-3",146.441200,154.901940,180.000000,top
"J2","5103308-3","5103308-3",100.145000,63.220640,0.000000,top
"J3","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",115.504000,31.684000,-90.000000,top
"J4","5103308-3","5103308-3",61.938410,63.220640,0.000000,top
"J7","XH-10AW","JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal",31.557000,53.864000,-90.000000,top
"J10","XH-10AW","JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal",148.143000,31.364000,90.000000,top
"J13","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",65.593000,53.147000,90.000000,top
"M1","Module-wbo-0.3","wbo",80.042000,49.683000,180.000000,top
"M2","Module-can-0.1","can",91.257663,47.910498,-90.000000,top
"M3","Module-wbo-0.3","wbo",100.632000,34.833000,0.000000,top
"M4","Module-can-0.1","can",88.950337,36.535501,90.000000,top
"U1","FORD60PIN","FORD60PIN",41.276800,160.258800,0.000000,top
